Person,Current Age,Retirement Age,Birth Year,Birth Month,Gender,Address,Apartment,City,State,Zipcode,Latitude,Longitude,Per Capita Income - Zipcode,Yearly Income - Person,Total Debt,FICO Score,Num Credit Cards
Liberty Rivera,31,72,1988,7,Female,95410 Pine Boulevard,,Arlington,VA,22203,38.87,-77.10,$47408,$96661,$73401,721,2
Caylee Schmidt,55,64,1964,11,Female,4329 El Camino Boulevard,,Newland,NC,28657,36.08,-81.92,$13018,$26546,$32087,686,5
Kathryn Morales,34,67,1985,10,Female,316 Valley Stream Avenue,,North Fork,CA,93643,37.23,-119.49,$16643,$33934,$42945,622,3
Alyssa Cox,50,71,1969,9,Female,64 Mill Street,,Franklin,WI,53132,42.88,-88.00,$29924,$61008,$0,781,4
Luis Allen,33,64,1986,11,Male,27934 11th Street,,Fort Lauderdale,FL,33312,26.14,-80.13,$20995,$42808,$117011,758,1
Nickolas Lopez,21,67,1999,2,Male,92196 Tenth Drive,,Leesburg,VA,20176,39.10,-77.55,$44196,$90104,$85204,787,2
Naya Gonzalez,55,64,1964,12,Female,292 Tenth Street,,Sacramento,CA,95820,38.53,-121.44,$17435,$35553,$76077,623,1
Kaison Turner,26,67,1994,2,Male,225 Ocean View Avenue,,Richmond,VA,23235,37.55,-77.46,$26269,$53554,$119852,689,2
Aaden Campbell,33,69,1986,3,Male,858 Plum Avenue,,Scarborough,ME,04074,43.59,-70.33,$29237,$59613,$36199,763,4
Briar Reed,91,70,1928,9,Female,984 Little Creek Lane,501,Flushing,NY,11355,40.77,-73.84,$13810,$17150,$375,807,6
Stephen Hill,67,65,1952,11,Male,391 Martin Luther King Boulevard,,San Leandro,CA,94577,37.71,-122.16,$24971,$30962,$15336,743,5
Marley Russell,59,62,1960,6,Male,485 Birch Boulevard,2,Napoleon,OH,43545,41.39,-84.12,$18600,$37927,$79299,712,1
Khaleesi Green,33,66,1986,11,Female,776 Bayview Avenue,95,Commack,NY,11725,40.84,-73.28,$34188,$69706,$97070,785,2
Avianna Taylor,18,57,2001,8,Female,8026 East Drive,,Katy,TX,77449,29.79,-95.82,$21214,$43253,$56323,718,1
Giovanni Hughes,18,68,2002,2,Male,188 Ninth Boulevard,,Farmington,MO,63640,37.78,-90.42,$17707,$36101,$46425,778,2
Evangeline Richardson,53,66,1966,11,Female,864 Jefferson Drive,,Duson,LA,70529,30.23,-92.19,$19798,$40363,$111112,711,4
Warren Phillips,83,59,1936,11,Male,7994 Maple Lane,,East Hampton,NY,11937,40.95,-72.19,$37846,$80493,$2027,610,5
Hailee Ajami,78,57,1941,11,Female,939 Mill Street,,Chino,CA,91710,33.98,-117.65,$22682,$39263,$24246,645,4
Ari Johnson,67,67,1952,4,Female,7927 Plum Lane,,Allen,TX,75002,33.10,-96.66,$32580,$78329,$40161,720,3
Baylor Roberts,42,66,1977,5,Male,260 Spruce Avenue,,San Antonio,TX,78221,29.45,-98.50,$12547,$25585,$59827,702,4
Jaxen Powell,62,70,1957,8,Male,3776 Bayview Lane,,Garner,NC,27529,35.69,-78.62,$22685,$46256,$106753,650,3
Jadiel Thomas,28,65,1991,3,Male,231 Littlewood Avenue,,Lynden,WA,98264,48.95,-122.43,$19301,$39354,$26700,685,2
Gordon Collins,35,66,1984,8,Male,33 Second Boulevard,,Plano,TX,75023,33.04,-96.74,$29793,$60746,$88165,706,4
Kynlee Martinez,51,68,1968,11,Female,375 Hillside Drive,,Round Rock,TX,78665,30.54,-97.64,$30358,$61901,$29627,726,7
Dakota Rivera,26,65,1994,2,Female,4726 Third Street,,Borden,IN,47106,38.46,-85.95,$21313,$43454,$79295,774,2
Samuel Perez,43,67,1977,1,Male,2479 Valley Avenue,,Brooklyn,NY,11211,40.64,-73.94,$22456,$45789,$94014,695,4
Craig Ajami,56,68,1964,1,Male,2742 El Camino Boulevard,5,Lake View,NY,14085,42.71,-78.93,$25916,$52841,$36288,733,5
Amber Flores,23,75,1996,10,Female,5883 Sixth Street,,Lugoff,SC,29078,34.22,-80.68,$18494,$37717,$60367,688,3
Alexa Fox,22,63,1997,8,Female,3269 River Street,,Marysville,OH,43040,40.23,-83.37,$25313,$51613,$62635,649,2
Avalyn Taylor,42,69,1977,9,Female,6777 First Drive,,Rialto,CA,92376,34.10,-117.38,$14632,$29835,$46702,618,7
Lucca James,78,65,1941,7,Male,22 East Avenue,,Novi,MI,48375,42.47,-83.49,$34259,$62103,$33545,509,4
Reyna Kelley,51,65,1969,2,Female,733 Maple Drive,4076,Columbia,MO,65201,38.95,-92.32,$20966,$42749,$53471,728,4
Gabriella Flores,38,64,1981,7,Female,6022 Mill Street,,Houston,TX,77095,29.76,-95.38,$33925,$69171,$102537,622,1
Monserrat Perez,98,60,1921,11,Female,412 Burns Drive,,Ewa Beach,HI,96706,21.31,-158.01,$22778,$42306,$472,725,5
Lilly James,29,67,1990,10,Female,645 Tenth Boulevard,,El Cajon,CA,92021,32.84,-116.88,$20673,$42150,$39663,750,3
Keyla Moore,23,63,1996,11,Female,994 Second Lane,,Suitland,MD,20746,38.83,-76.92,$23340,$47589,$114020,763,4
Douglas Labelle,68,65,1952,2,Male,69 Spruce Avenue,,Hendersonville,NC,28792,35.32,-82.46,$13634,$23993,$2573,714,5
Esperanza Campbell,52,65,1967,8,Female,23 Sussex Lane,,Allenton,MI,48002,42.92,-82.88,$20942,$42701,$53696,701,4
Karina Parker,41,69,1978,8,Female,6157 Washington Drive,9,Capistrano Beach,CA,92624,33.45,-117.66,$27622,$56320,$84614,792,3
Seth Wright,59,68,1960,6,Male,4728 George Drive,,Grand Rapids,MI,49548,42.96,-85.65,$15472,$31550,$26738,710,3
Terry Nguyen,56,75,1963,9,Male,1184 Essex Lane,,Highlands,NC,28741,35.05,-83.19,$15899,$32418,$84507,758,4
Anderson Jackson,47,65,1972,10,Male,6232 Second Avenue,2,Perris,CA,92571,33.83,-117.20,$16109,$32847,$3230,785,3
Emmett Hall,40,65,1980,2,Male,663 Third Drive,1,The Colony,TX,75056,33.09,-96.88,$31905,$65053,$83571,775,2
Musa Abe,72,65,1947,6,Male,527 Federal Avenue,533,San Ramon,CA,94583,37.78,-121.99,$0,$2422,$810,632,2
Vera Hughes,36,68,1984,2,Female,4350 Valley Boulevard,,Caldwell,OH,43724,39.74,-81.51,$15950,$32522,$28260,769,2
Amara Moore,43,66,1976,9,Female,5180 Burns Boulevard,,Griffin,GA,30224,33.24,-84.27,$17811,$36315,$0,824,3
Zoie Ward,64,62,1955,7,Female,28 First Lane,,Chambersburg,PA,17202,39.92,-77.71,$20943,$39206,$9219,605,4
Rory Ross,27,66,1992,7,Female,8555 Eighth Avenue,,North Tazewell,VA,24630,37.16,-81.50,$16501,$33641,$40696,743,1
Valeria Schmidt,56,65,1963,3,Female,900 Littlewood Street,,Barnegat,NJ,08005,39.75,-74.22,$20034,$40848,$146608,706,2
Valentina Perez,47,66,1973,2,Female,96 Jefferson Street,,Daytona Beach,FL,32118,29.19,-81.05,$16733,$34112,$39842,725,4
Charley King,26,67,1994,2,Female,682 Martin Luther King Avenue,,Dallas,TX,75230,32.79,-96.76,$63159,$128775,$232506,655,1
Brennan Flores,50,66,1969,10,Male,517 Eighth Drive,440,Huntington,NY,11743,40.87,-73.40,$51032,$104045,$0,734,3
Paulina Hill,58,66,1961,6,Female,385 Jefferson Avenue,9,Hendersonville,TN,37075,36.29,-86.60,$25166,$51316,$0,759,6
Ramona Parker,66,59,1954,1,Female,1105 Second Drive,,Dearborn,MI,48124,42.31,-83.21,$24561,$48690,$36262,701,6
Renee Brooks,18,65,2002,2,Female,1358 Plum Avenue,,Lucinda,PA,16235,41.31,-79.38,$17321,$35311,$44783,684,5
Emmy Gomez,42,63,1977,8,Female,800 Madison Street,,Orlando,FL,32808,28.50,-81.37,$13414,$27354,$42226,799,1
Ainsley Phillips,56,66,1963,4,Female,13 Rose Boulevard,,Pawling,NY,12564,41.56,-73.59,$31288,$63796,$82173,730,3
Marlon Howard,28,65,1991,5,Male,104 First Boulevard,,Apex,NC,27502,35.72,-78.84,$32485,$66237,$146680,785,1
Kai King,58,66,1961,7,Female,427 Essex Lane,,Matthews,NC,28105,35.12,-80.71,$27254,$55569,$76181,698,6
Emmett Morgan,40,65,1979,5,Male,855 Sussex Avenue,,Saint Paul,MN,55116,44.94,-93.10,$32972,$67226,$128174,729,3
Celine Lonsdale,43,50,1976,11,Female,689 Valley Stream Lane,9,Boxford,MA,01921,42.67,-70.98,$52066,$106159,$144773,703,5
Brenna Gonzalez,68,72,1951,8,Female,222 Lafayette Lane,3,Elma,NY,14059,42.83,-78.63,$24651,$50258,$0,686,3
Keyla Russell,44,69,1975,5,Female,4868 Lake Lane,,Huntington Beach,CA,92647,33.72,-118.00,$26966,$54981,$121701,737,1
Khalil Fernandez,59,70,1960,8,Male,60396 Elm Street,,Naples,FL,34104,26.14,-81.79,$17455,$35590,$92603,720,4
Robert Anwar,41,67,1978,5,Male,469 Pine Street,,Belleville,IL,62221,38.53,-90.00,$24509,$49967,$58582,712,4
Miranda Carter,30,63,1989,7,Female,4788 Jefferson Boulevard,,Springfield,OR,97478,44.10,-122.80,$18446,$37610,$64933,586,1
Tinley Fu,31,66,1988,11,Female,4947 Sussex Boulevard,,Bensalem,PA,19020,40.10,-74.93,$24817,$50599,$83732,791,2
Michael Anwar,64,67,1955,10,Male,8999 Washington Drive,,Oceanside,NY,11572,40.63,-73.63,$32805,$66885,$144703,698,7
Adrienne Wilson,61,67,1959,1,Female,9473 Mill Street,,Clifton,NJ,07012,40.86,-74.15,$31281,$63781,$111808,654,1
Kehlani Torres,49,65,1970,7,Female,836 Bayview Avenue,,Tulsa,OK,74137,36.12,-95.91,$46461,$94733,$0,707,5
Reese Ryan,49,66,1970,5,Male,4882 Mountain View Lane,,Kansas City,MO,64124,39.09,-94.58,$12064,$24598,$23019,695,4
Corey King,46,66,1974,1,Male,434 Bayview Avenue,91,Cowansville,PA,16218,40.93,-79.59,$17870,$36440,$30574,745,2
Reagan Butler,24,65,1996,1,Male,716 Bayview Avenue,,Hamptonville,NC,27020,36.11,-80.81,$15545,$31693,$98206,719,1
Aylin Lopez,19,65,2000,3,Female,39 Park Lane,,Los Angeles,CA,90022,34.02,-118.15,$13485,$27494,$26097,724,1
Abdullah Xi,65,65,1955,2,Male,1032 Second Lane,,Clifton Springs,NY,14432,42.95,-77.13,$19095,$20614,$14042,711,2
Rylee El-Mafouk,82,65,1938,1,Female,1437 Madison Lane,,Dallas,TX,75238,32.79,-96.76,$27814,$66999,$3140,730,5
Marcel Myers,41,61,1978,4,Male,4693 Elm Lane,682,Crestview,FL,32536,30.75,-86.57,$19066,$38874,$64474,672,3
Julieta Schmidt,25,69,1995,1,Female,834 Elm Avenue,8,Woodland Park,CO,80863,38.99,-105.05,$23550,$48017,$95549,711,1
Josie Fernandez,47,64,1972,8,Female,5647 Burns Boulevard,6,Galliano,LA,70354,29.43,-90.30,$21966,$44789,$94789,638,1
Ellis Gray,35,62,1984,5,Female,96 Ninth Drive,,Atlanta,TX,75551,33.11,-94.16,$16746,$34143,$49839,648,4
Trey Carter,83,65,1936,7,Male,3241 Park Lane,,Albuquerque,NM,87121,35.11,-106.62,$15385,$16611,$1797,696,5
Sage Thompson,36,68,1983,3,Female,620 River Boulevard,,Walla Walla,WA,99362,46.11,-118.30,$18880,$38496,$64688,642,2
Ivan Anderson,78,64,1941,11,Male,5004 Lake Street,,Oklahoma City,OK,73110,35.46,-97.51,$16016,$31046,$11436,706,6
Noe Sanchez,37,71,1982,3,Male,7954 Wessex Boulevard,3,Vienna,VA,22182,38.90,-77.26,$60593,$123540,$236393,764,4
Brooklyn Cook,65,65,1954,5,Female,9052 River Lane,,Alcoa,TN,37701,35.79,-83.97,$18273,$39809,$0,775,4
Eric Lonsdale,64,65,1956,1,Male,25521 First Street,,Dublin,GA,31021,32.53,-82.92,$16958,$34576,$81087,683,1
Estella Price,74,67,1945,7,Female,5064 North Lane,,Woodmere,NY,11598,40.63,-73.72,$45685,$110570,$5700,766,8
Jett Barnes,28,69,1992,1,Male,564 Catherine Lane,,Green Bay,WI,54302,44.52,-87.98,$16801,$34262,$60506,846,2
Maximiliano Carter,40,71,1979,12,Male,9466 Essex Street,,Bessemer,AL,35023,33.43,-86.99,$19851,$40473,$54899,689,4
Juliette Phillips,33,67,1986,4,Female,9761 East Street,,Atlanta,GA,30342,33.88,-84.37,$47453,$96744,$128122,838,5
Miller Powell,48,70,1971,8,Male,884 Tenth Drive,563,Louisville,MS,39339,33.12,-89.05,$15316,$31231,$40499,681,3
Tori Macron,57,65,1962,5,Female,992 Forest Street,,Allen,TX,75002,33.10,-96.66,$32580,$66427,$103290,779,5
Andres Lewis,31,70,1988,11,Male,237 Hill Lane,8,Waco,TX,76707,31.56,-97.18,$11512,$23469,$22976,731,3
Aydin Long,30,69,1989,11,Male,8687 Ninth Drive,5154,Lakewood,NJ,08701,40.09,-74.21,$13006,$26519,$63979,663,3
Martha Bailey,40,64,1979,8,Female,6950 Federal Avenue,,Ashville,AL,35953,33.83,-86.26,$17067,$34799,$72749,793,2
Ryann Schmidt,28,70,1991,12,Female,816 Little Creek Lane,,Astoria,OR,97103,46.12,-123.67,$17260,$35194,$56006,620,1
Marie Gray,28,66,1991,7,Female,7004 Mill Drive,,Zion,IL,60099,42.45,-87.84,$19463,$39679,$93772,758,2
Tomas Ross,67,66,1952,3,Male,1 Burns Lane,,San Jose,CA,95121,37.30,-121.80,$25115,$31287,$25844,728,4
Issac Gomez,26,71,1993,9,Male,381 Sussex Avenue,20,Nolanville,TX,76559,31.07,-97.61,$19032,$38805,$54466,614,2
Barbara Peterson,43,67,1976,4,Female,4 North Street,,Washington,DC,20011,38.89,-77.03,$23940,$48810,$0,799,3
Owen Johnson,62,67,1957,6,Male,896 Madison Boulevard,,Meridian,ID,83646,43.65,-116.43,$22290,$45450,$85218,686,3
Ellen Sanders,25,64,1994,7,Female,5338 Fifth Boulevard,,Union City,NJ,07087,40.76,-74.03,$16770,$34201,$42895,731,1
Nyla Faraday,53,64,1966,3,Female,5773 River Street,,Burney,CA,96013,40.94,-121.74,$16742,$34137,$80467,671,4
Blaze Davis,67,67,1952,12,Male,388 Third Avenue,,Fresno,CA,93727,36.75,-119.67,$17683,$28357,$10400,628,2
Gabriella Price,30,62,1989,8,Female,9104 Second Avenue,689,Houston,TX,77081,29.76,-95.38,$15862,$32343,$39656,683,3
Jewel Smith,18,68,2002,1,Female,2108 Spruce Lane,,Sacramento,CA,95825,38.58,-121.40,$20670,$42142,$116857,713,2
Mekhi Phillips,30,65,1989,7,Male,7691 Ocean View Avenue,,New Bern,NC,28560,35.11,-77.07,$16177,$32985,$32764,740,2
Omari Cook,82,62,1937,8,Male,58 River Avenue,,New York,NY,10032,40.71,-73.99,$16494,$23572,$216,590,2
Kehlani Foster,25,70,1994,12,Female,142 Rose Drive,,Springfield,MA,01107,42.11,-72.53,$14155,$28862,$20944,751,2
Aliana Diaz,76,68,1943,10,Female,2760 Forest Drive,,Sioux Falls,SD,57106,43.54,-96.73,$21089,$31145,$5132,689,4
Amari Masvidal,64,70,1956,2,Female,9505 Martin Luther King Avenue,,Modesto,CA,95351,37.63,-121.01,$13015,$26535,$93592,724,5
Chanel Jackson,58,70,1962,2,Female,901 Oak Street,,New Kensington,PA,15068,40.56,-79.75,$19517,$39796,$9452,729,5
Kyree Phillips,71,67,1948,3,Male,3095 Hill Boulevard,6,Casper,WY,82604,42.83,-106.32,$25502,$51703,$5371,722,7
Sutton Harris,66,66,1953,12,Male,350 North Street,7659,Romulus,MI,48174,42.22,-83.36,$18879,$31175,$5846,711,5
Thiago Roman,89,73,1930,11,Male,89 Wessex Street,,Chicago Heights,IL,60411,41.50,-87.63,$16503,$38761,$69,760,7
Pedro Phillips,86,62,1933,11,Male,3899 Seventh Lane,,Jacksonville,FL,32218,30.33,-81.65,$19382,$33291,$695,714,2
Emerson Faraday,40,64,1980,2,Female,7476 First Lane,,Gainesville,FL,32606,29.67,-82.33,$25812,$52630,$68559,725,4
Tony Walker,73,64,1946,12,Male,6781 Spruce Boulevard,,Pacoima,CA,91331,34.25,-118.41,$14317,$26481,$10392,705,1
Robert Fu,24,59,1995,7,Male,276 12th Boulevard,,Chicago,IL,60614,41.83,-87.68,$0,$2370,$4397,581,1
Nickolas Neufelder,59,67,1960,3,Male,1362 Norfolk Drive,,Montgomery,AL,36111,32.35,-86.28,$21102,$43021,$86014,725,4
Forrest Wood,18,68,2002,1,Male,392 Rose Drive,,Dorchester,MA,02125,42.35,-71.06,$21809,$44466,$3096,709,2
Roger James,50,57,1969,3,Male,1559 Tenth Street,3829,Tampa,FL,33613,27.95,-82.48,$21033,$42886,$60474,604,1
Levi Murphy,35,67,1984,5,Male,315 Little Creek Lane,3,Granite City,IL,62040,38.71,-90.12,$18560,$37843,$40003,697,3
London Garcia,34,66,1985,10,Male,539 Maple Drive,88,Kernersville,NC,27284,36.11,-80.07,$23738,$48398,$138998,642,3
Clementine Carter,33,66,1986,10,Female,26191 George Drive,,Detroit,MI,48235,42.38,-83.10,$13820,$28181,$37929,682,2
Opal Ortiz,48,65,1971,10,Female,7139 Lake Boulevard,,Clinton,TN,37716,36.09,-84.13,$18353,$37422,$127116,681,5
Amy Ryan,24,54,1995,3,Female,5 Hill Avenue,26,San Diego,CA,92127,33.02,-117.12,$44747,$91237,$231619,594,1
Davion Xi,59,65,1960,4,Male,9099 Little Creek Drive,86,Minneapolis,MN,55425,44.96,-93.26,$21535,$43913,$83944,676,4
Jude James,37,68,1982,4,Male,7559 Forest Boulevard,,Hobart,IN,46342,41.53,-87.26,$21851,$44550,$117302,761,3
Bruce Gonzalez,75,73,1945,2,Male,2842 Littlewood Avenue,9,Orlando,FL,32825,28.50,-81.37,$20121,$42806,$20432,726,6
Rowan Rodriguez,63,65,1956,12,Female,4461 Hill Street,,Merritt Island,FL,32952,28.32,-80.68,$26339,$53702,$85160,606,1
Casey El-Mafouk,86,65,1933,8,Female,5220 Lincoln Street,,Nashville,TN,37211,36.17,-86.78,$20030,$38273,$1658,765,6
Ailani Smith,29,67,1991,2,Female,3260 Hillside Lane,10,Hendersonville,TN,37075,36.29,-86.60,$25166,$51303,$106248,688,3
Aranza Perez,44,64,1975,5,Female,518 Norfolk Avenue,,Jackson,GA,30233,33.29,-83.96,$17545,$35775,$67263,773,1
Erika El-Mafouk,71,64,1948,3,Female,149 Burns Boulevard,,Littleton,CO,80122,39.59,-105.01,$31024,$67186,$29682,692,1
Morgan Gao,47,67,1972,7,Male,30 First Lane,9,Johnstown,OH,43031,40.15,-82.68,$22934,$46763,$65106,696,3
Ayden Kelley,62,70,1958,2,Male,142 Catherine Street,,Mission,TX,78572,26.21,-98.31,$14275,$29110,$23504,699,3
Isaias Abe,90,62,1929,10,Male,3019 Elm Drive,,Vineland,NJ,08360,39.46,-74.99,$17685,$41831,$1100,615,1
Kylie Mitchell,42,65,1978,1,Female,606 Spruce Boulevard,,Reading,PA,19607,40.33,-75.92,$24089,$49117,$42380,769,3
Mallory Morgan,69,70,1950,4,Female,128 Main Street,,Middleton,WI,53562,43.10,-89.50,$33808,$68930,$72619,768,4
Raelynn Williams,68,58,1952,1,Female,44 Ocean Avenue,91,Little River,SC,29566,33.87,-78.63,$13907,$20334,$9544,684,2
Freya Garcia,43,61,1976,7,Female,57799 Oak Boulevard,3380,Buffalo,NY,14211,42.88,-78.85,$12220,$24917,$36101,693,2
Nicole Ajami,39,67,1980,12,Female,1533 Martin Luther King Lane,,South Beloit,IL,61080,42.48,-89.03,$21749,$44344,$82822,744,3
Courtney Jones,38,68,1982,1,Female,377 Mountain View Drive,4,Ava,IL,62907,37.88,-89.49,$16825,$34311,$61776,705,2
Dallas Abe,57,62,1962,3,Male,252 Eighth Lane,,Saint Albans,WV,25177,38.37,-81.81,$17282,$35239,$43270,726,1
Dallas Ajami,55,66,1964,4,Male,959 Tenth Street,,Mokelumne Hill,CA,95245,38.29,-120.58,$18223,$37147,$0,703,3
Averi Taylor,50,64,1970,2,Female,61674 Elm Drive,6,Lebanon,OR,97355,44.52,-122.81,$17003,$34671,$55643,786,6
Colby Myers,57,69,1962,10,Male,936 12th Street,,Pasadena,MD,21122,39.11,-76.55,$30004,$61173,$71422,692,3
Bria Ortiz,55,72,1964,9,Female,919 Ocean View Lane,,Manteca,CA,95337,37.73,-121.24,$23368,$47643,$45706,764,8
Layla Kelly,60,61,1959,6,Female,498 Elm Lane,,Kingman,AZ,86401,35.24,-113.76,$17113,$34895,$56622,820,4
Oakley Harris,64,68,1956,2,Female,25 Elm Street,2,Keller,TX,76248,32.93,-97.22,$0,$1785,$2892,732,3
Zachariah Fernandez,98,69,1921,11,Male,468 Spruce Street,7,Vacaville,CA,95687,38.35,-121.93,$26137,$33869,$370,821,7
Giovanna Reyes,77,68,1943,1,Female,6864 Norfolk Boulevard,,Warner Robins,GA,31088,32.61,-83.63,$20835,$31066,$20902,712,4
Armani Hill,37,68,1982,5,Female,345 George Street,,Garland,TX,75044,32.91,-96.62,$27057,$55172,$96779,629,3
Carolyn Reyes,54,60,1966,2,Female,72990 Second Drive,,Hickman,NE,68372,40.62,-96.63,$23029,$46956,$94340,610,2
Rory El-Mafouk,53,61,1966,7,Male,5886 Ninth Boulevard,,Scottsdale,AZ,85260,33.61,-111.89,$36300,$74012,$93119,681,2
Atlas Evans,32,68,1987,3,Male,69080 Spruce Street,,Houston,TX,77035,29.76,-95.38,$20055,$40887,$50734,688,4
Legend Thomas,32,65,1987,11,Male,6415 Sussex Lane,,Milton,PA,17847,41.00,-76.85,$16935,$34531,$60156,703,4
Maisie James,18,67,2001,7,Female,243 Forest Lane,,Howard Beach,NY,11414,40.66,-73.84,$26481,$53995,$154800,673,1
Destiny Fu,68,64,1951,6,Female,478 Hill Avenue,,Marietta,GA,30067,33.95,-84.54,$30747,$63502,$24100,638,7
Romeo Fisher,51,67,1969,2,Male,849 Littlewood Drive,4,Lubbock,TX,79414,33.57,-101.87,$16272,$33178,$92366,671,2
Zain Ramirez,84,65,1935,4,Male,402 El Camino Drive,,Bradenton,FL,34212,27.48,-82.57,$29583,$44690,$2249,733,5
Melody Nelson,56,61,1963,3,Female,6134 Littlewood Lane,7,Gulfport,MS,39503,30.38,-89.06,$19327,$39409,$52076,599,1
David Fu,19,63,2000,5,Male,29894 Martin Luther King Lane,,Clearwater,FL,33755,27.97,-82.76,$16223,$33080,$55066,692,3
Musa Williams,54,64,1965,8,Male,52 Sixth Boulevard,,Alpharetta,GA,30005,34.06,-84.27,$43725,$89152,$162012,675,1
Lydia Moore,70,70,1950,2,Female,888 Lincoln Street,,Duluth,MN,55807,46.78,-92.11,$17474,$27772,$14408,788,4
Mohamed Hall,66,65,1954,1,Male,5238 Plum Street,,San Martin,CA,95046,37.10,-121.60,$26188,$44137,$22392,626,2
Daniella Parker,66,69,1954,2,Female,7888 Fourth Street,,Vanceboro,NC,28586,35.30,-77.15,$14844,$30265,$36789,814,4
Gary Peterson,55,69,1965,1,Male,2100 Summit Street,,Houston,TX,77031,29.76,-95.38,$18412,$37534,$99840,706,3
Kase Chen,21,67,1998,11,Male,3900 Rose Street,,Winslow,AZ,86047,35.10,-110.64,$15864,$32345,$61066,730,3
Adrian Rogers,38,70,1981,3,Male,2750 Rose Boulevard,,Postville,IA,52162,43.08,-91.56,$13332,$27183,$58323,637,1
Harlow Green,52,71,1967,8,Female,869 Little Creek Lane,1,Holland,MI,49423,42.77,-86.10,$18877,$38487,$49725,691,3
Melody Masvidal,69,69,1950,4,Female,131 Tenth Avenue,,Urbandale,IA,50322,41.63,-93.74,$26764,$33642,$20874,593,5
Trinity Campbell,51,67,1968,12,Female,3722 Valley Boulevard,,El Paso,TX,79902,31.84,-106.43,$16823,$34302,$84935,651,3
Arianna Clark,31,67,1988,9,Female,775 Lexington Boulevard,,Georgetown,TX,78626,30.64,-97.68,$20968,$42754,$60172,656,1
Cassidy Hill,24,69,1995,4,Female,4020 Littlewood Street,,South Park,PA,15129,40.29,-79.99,$25037,$51045,$127864,772,2
Jonas Baker,84,69,1935,8,Male,463 12th Street,4,Gwynn Oak,MD,21207,39.32,-76.72,$20641,$24055,$0,733,7
Mayson Collins,28,68,1991,12,Male,243 Wessex Avenue,,San Marcos,CA,92069,33.15,-117.17,$22081,$45021,$77559,689,1
Edgar Cox,18,55,2001,5,Male,2819 Littlewood Lane,,York,PA,17406,39.96,-76.73,$22991,$46878,$60121,578,1
Emberly Young,82,66,1937,9,Female,9952 South Lane,,East Hartford,CT,06108,41.76,-72.61,$20065,$22726,$1692,784,6
Khari Sadr,49,65,1970,4,Male,2379 Forest Lane,,Oceanside,CA,92058,33.18,-117.29,$16894,$34449,$36540,686,3
Jakob Hall,36,66,1983,12,Male,7121 Fourth Avenue,4,Cassville,MO,65625,36.67,-93.86,$13895,$28334,$0,700,3
Vanessa Anderson,31,67,1988,8,Female,761 Main Avenue,,Snohomish,WA,98290,47.94,-122.00,$28037,$57166,$111755,737,2
Mariana Braun,59,67,1961,1,Female,535 Grant Boulevard,,Edinburgh,IN,46124,39.35,-85.96,$17585,$35854,$49101,850,2
Kallie Rodriguez,39,71,1980,7,Female,135 Littlewood Avenue,6,Oceanside,CA,92056,33.20,-117.29,$22050,$44958,$91549,787,1
Macie Macron,62,72,1958,2,Female,8323 Catherine Boulevard,,Jefferson,NC,28640,36.42,-81.46,$14218,$28988,$13351,694,4
Casey El-Mafouk,53,65,1966,5,Male,7571 George Street,,Washington Court House,OH,43160,39.53,-83.43,$16544,$33729,$0,763,4
Alfonso Carter,31,69,1988,5,Male,766 Catherine Boulevard,,Fredericksburg,VA,22405,38.29,-77.48,$29157,$59455,$96224,557,1
Keagan Long,18,70,2002,2,Male,76 Grant Lane,,Brooklyn,NY,11210,40.64,-73.94,$23316,$47543,$124177,667,1
Addisyn Gomez,39,65,1980,4,Female,871 12th Lane,,Woodbridge,VA,22191,38.63,-77.26,$26618,$54273,$110237,789,4
Adelyn Sullivan,77,71,1942,6,Female,6335 Rose Lane,,Carson City,NV,89706,39.21,-119.71,$18239,$38692,$8902,596,5
Rene Fisher,54,69,1965,11,Male,0 Ocean Boulevard,,Mckeesport,PA,15132,40.33,-79.83,$14663,$29898,$19719,714,5
Tinley Chen,22,60,1998,1,Female,566 Hillside Street,,Holiday,FL,34691,28.18,-82.74,$15418,$31443,$52826,676,1
Koda Reed,43,65,1977,2,Male,8061 Spruce Drive,3,Rolla,MO,65401,37.94,-91.76,$17428,$35538,$71591,747,1
Ameer Turner,43,67,1976,12,Male,924 First Drive,10,El Paso,TX,79912,31.84,-106.43,$24608,$50174,$145300,643,4
Anton White,24,57,1995,6,Male,9226 Tenth Boulevard,,Fairfax,VA,22033,38.85,-77.29,$42884,$87436,$135294,845,2
Aspen Martinez,33,67,1986,11,Female,3550 Sixth Boulevard,,Novato,CA,94947,38.10,-122.63,$30335,$61846,$12525,722,4
Makenzie Rogers,22,62,1997,7,Female,777 Valley Stream Lane,,Chicago,IL,60623,41.83,-87.68,$11951,$24369,$37437,575,4
Willie Farhad,26,68,1993,10,Male,55 Madison Drive,,Bridgeport,TX,76426,33.20,-97.75,$21810,$44470,$66413,721,3
Lionel Bailey,28,65,1991,12,Male,1963 Summit Lane,,Fort Lauderdale,FL,33312,26.14,-80.13,$20995,$42806,$49194,712,3
Alina Harris,69,66,1950,12,Female,20 Oak Street,,Yorba Linda,CA,92886,33.89,-117.78,$38948,$99825,$4344,685,4
Kyleigh Watson,44,66,1975,5,Female,8659 El Camino Street,,Hamilton,OH,45013,39.39,-84.56,$19569,$39898,$43630,682,3
Octavia Miller,39,70,1980,12,Female,470 11th Lane,,Indianapolis,IN,46237,39.77,-86.14,$24233,$49412,$42378,830,3
